Country,Population,% obesity,Internet Users (in mil),% Ger speakers,img.png,x,y
Austria,8221646,20.9,6.143,100,austrianflag.png,620,423
Belgium,10444268,22.1,8.113,27,belgiumflag.png,475,353
Bulgaria,6981642,23.7,3.395,12,bulgarianflag.png,797,507
Croatia,4475611,24.2,2.234,34,croatianflag.png,647,466
Cyprus,1155403,25.5,0.4339,5,cyprusflag.png,976,636
Czech Republic,10609762,32.7,6.681,28,czechflag.png,628,371
Denmark,5556452,18.2,4.75,58,danishflag.png,541,234
Estonia,1266375,20.6,0.9717,22,estonianflag.png,734,153
Finland,5266114,23,4.393,18,finnishflag.png,717,52
France,65951611,18.2,45.262,8,frenchflag.png,431,443
Germany,81147265,25.1,65.125,99,germanflag.png,552,348
Hungary,9939470,27.6,6.176,26,hungarianflag.png,694,425
Ireland,4775982,25.2,3.042,7,irishflag.png,316,269
Italy,61482297,19.8,29.235,7,italianflag.png,595,532
Latvia,2178443,24.9,1.504,19,latvianflag.png,743,193
Lithuania,3515858,27.6,1.964,14,lithuanianflag.png,729,231
Luxembourg,514862,26,0.4245,92,luxembourgflag.png,496,374
Malta,411277,28.8,0.2406,3,maltaflag.png,632,685
Netherlands,16805037,18.8,14.872,71,netherlandsflag.png,490,319
Poland,38383809,25.3,22.452,20,polishflag.png,680,310
Portugal,10799270,24,5.168,3,portugueseflag.png,236,562
Romania,21790479,19.1,7.787,7,romanianflag.png,780,440
Slovakia,5488339,25.4,4.063,32,slovakianflag.png,693,387
Slovenia,1992690,28.6,1.298,50,slovenianflag.png,624,456
Spain,47370542,26.6,28.119,2,spanishflag.png,317,566
Sweden,9647386,18.6,8.398,31,swedishflag.png,605,77
United Kingdom,63395574,26.9,51.444,9,britishflag.png,399,263
